cc_id,cc_name,cc_symbol,volume24h
36338,Coral Protocol,CORAL,459212.30768109
38596,ZERA,ZERA,455535.4021969
36621,MAGIC•INTERNET•MONEY (Bitcoin),MIM,451195.57204132
33697,TRUF.Network,TRUF,447855.26978908
10372,DACXI,DXI,440026.61170316
6731,Tokamak Network,TOKAMAK,439926.76406785
33725,Vameon,VON,439718.09999293
17722,Ambire Wallet,WALLET,437796.8703035
16093,KUB Coin,KUB,437026.20936678
25963,BlackFort Exchange Network,BXN,431513.5180586
28458,Autonolas,OLAS,429492.73370422
10079,Quidax Token,QDX,407990.27663047
15584,Humans.ai,HEART,402856.40059816
28688,AI Analysis Token,AIAT,400188.35479163
18386,Faith Tribe,FTRB,399623.2081562
36963,YURU COIN,YURU,399026.38011908
29599,USDB,USDB,396823.060246
38573,Smart Pocket,SP,393909.95326956
34158,Vertical AI,VERTAI,390833.6478142
28735,UNIPOLY,UNP,384669.92926925
30605,Ailey,ALE,383993.42066724
9103,GAMEE,GMEE,381237.48855255
31051,LOBO•THE•WOLF•PUP (Bitcoin),LOBO,379841.7914619
34269,Mey Network,MEY,378531.76206718
20969,GEODNET,GEOD,375171.76135308
8489,XSGD,XSGD,374306.69630861
36539,RIZE,RIZE,370224.49596285
12400,Decimal,DEL,369699.25760925
23046,MCOIN,MCOIN,366889.94838197
3698,Observer,OBSR,361490.78181327
4424,XDAG,XDAG,348051.75644323
30369,HashAI,HASHAI,343774.47660939
5382,ELYSIA,EL,340394.67253353
32916,Sharp,SHARP,332652.51612899
38788,MWX Token,MWXT,332518.36419054
35804,Wall Street Pepe,WEPE,331891.82546333
28446,SPECTRE AI,SPECTRE,331275.97157341
30867,WHY,WHY,328218.30288905
14446,Laqira Protocol,LQR,324274.54003216
2866,Chainbounty,BOUNTY,321234.50642697
10469,iMe Lab,LIME,318392.90026023
3801,BORA,BORA,313752.59344897
32074,FEED EVERY GORILLA,FEG,310955.78503407
36556,Hippo Protocol,HP,306646.47078862
24835,PepeCoin,PEPECOIN,306349.2995185
33081,XBorg,XBG,298261.52683906
35396,Purple Bitcoin,PBTC,293646.66204307
7311,Beefy,BIFI,292590.72067236
37320,Freedom Dollar,FUSD,290564.20871869
20964,Law Blocks (AI),LBT,286258.57306559
6069,Assemble AI,ASM,281145.47682546
34914,Phoenix,PHNIX,280310.35614619
21822,Brickken,BKN,280095.66517574
22264,Oho,OHO,274570.55450187
5829,TrustSwap,SWAP,273476.08431296
2630,PolySwarm,NCT,266494.44172242
11202,Tokemak,TOKE,264836.10166528
22071,LOAN Protocol,LOAN,257722.31309853
24877,BIM,BIM,257020.18301743
17131,Planet IX(formerly IX token),IXT,256387.29733207
38219,Araracoin,ARARA,255423.81046597
10293,Swarm,BZZ,250123.42088284
10312,EscoinToken,ELG,246076.43885229
11213,Star Atlas DAO,POLIS,244593.07261299
32232,Public Masterpiece Token,PMT,242808.22325028
17960,ORIGYN,OGY,237048.110735
30723,Alltoscan,ATS,234656.15019283
16755,HOSKY Token,HOSKY,234047.34345428
36696,Pepe Unchained (New),PEPU,225386.11100006
2303,MediBloc,MED,225230.06487561
3418,Metadium,META,220570.55310483
28147,Amaterasu Omikami,OMIKAMI,213773.36809233
29693,Alvara Protocol,ALVA,213246.46141962
34095,Morphware,XMW,208831.4829667
36511,SLT,SLT,201796.78928779
20117,Minima,MINIMA,197946.91783494
34849,Redbelly Network,RBNT,193011.55870665
35589,AIntivirus,AINTI,191646.83274827
29724,KONET,KONET,189564.21817936
268,WhiteCoin,XWC,187856.45672297
34110,GOUT,GOUT,186637.58206244
